,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1.0.tissue,characteristics_ch1.1.fibrosis status,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM6041941,Klinefelter syndrome_1,GSM6041941,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546572,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833819",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041941/suppl/GSM6041941_RNA-TB238_S51Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041942,Klinefelter syndrome_2,GSM6041942,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546571,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833820",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041942/suppl/GSM6041942_RNA-TB239_S52Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041943,Klinefelter syndrome_3,GSM6041943,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546570,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833821",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041943/suppl/GSM6041943_RNA-TB262_S53Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041944,Klinefelter syndrome_4,GSM6041944,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546569,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833822",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041944/suppl/GSM6041944_RNA-TB272_S55Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041945,Klinefelter syndrome_5,GSM6041945,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546568,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833823",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041945/suppl/GSM6041945_RNA-TB299_S54Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041946,Testis atrophy_1,GSM6041946,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546567,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833824",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041946/suppl/GSM6041946_RNA-TB228_S66Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041947,Testis atrophy_2,GSM6041947,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546566,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833825",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041947/suppl/GSM6041947_RNA-TB264_S68Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041948,Testis atrophy_3,GSM6041948,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546565,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833826",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041948/suppl/GSM6041948_RNA-TB275_S67Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041949,Testis atrophy_4,GSM6041949,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546564,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833827",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041949/suppl/GSM6041949_RNA-TB311_S69Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041950,Testis atrophy_5,GSM6041950,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546563,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833828",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041950/suppl/GSM6041950_RNA-TB314_S70Aligned.sortedByCoord.count.txt.gz,GSE200680,0
