,Patient_A_Suspected_Klinefelter,Patient_B_Suspected_NOA
TSPAN6,192.54262105337054,127.21297510407432
TNMD,0.0,0.0
DPM1,211.23990229699206,558.8953658097275
SCYL3,191.26168744852535,10123.2934864678
C1orf112,20.53519422625293,0.9867968683033964
FGR,11.62208049951062,0.0
CFH,484.08954322127977,39.139318169080035
FUCA2,329.1614963453049,177.276302976628
GCLC,346.6816232418897,95.72912681359033
NFYA,215.74769815679682,30.940314236505397
STPG1,76.05840385468836,83.88514379581619
NIPAL3,233.06261465757572,187.57542478355853
LAS1L,782.5970124390467,599.9314992964928
ENPP4,191.4494224469259,110.20799490574464
SEMA3F,15.57639279297267,0.0
CFTR,19.100666532911276,5.76279258917303
ANKIB1,397.4157383643859,750.7629924845669
CYP51A1,2802.6182652676234,2081.6474462719766
KRIT1,559.124824036331,554.2554903745803
RAD52,96.44188349186594,1409.8222265325605
MYH16,35.13055845431808,0.0
BAD,48.29063903459721,307.36887804229514
LAP3,161.46066733154262,694.6377700835582
CD99,3324.5521965391185,6154.492963278963
HS3ST1,344.44613009123225,139.28192543603433
AOC1,14.6711150439827,1.0254725736793073
WNT16,0.0,0.0
HECW1,15.20282487420274,91.17547239313241
MAD1L1,116.05905161291234,40.58399445913355
LASP1,306.94918856132733,36.737225498537605
SNX11,45.93899314295697,74.5863308620594
TMEM176A,134.53635592235025,3.9190767661354315
M6PR,258.7888585929656,506.34895292570485
KLHL13,0.9519360868920143,0.0
CYP26B1,228.9746415890371,7.654452935683601
ICA1,16.566169294943844,162.96212110162955
DBNDD1,12.795663078976332,0.0
ALS2,366.43638105272044,149.28456261795608
CASP10,96.30225351090662,14.124288279775277
CFLAR,1462.3265974238277,1012.5213118589318
TFPI,424.4132124069909,92.89361666573818
NDUFAF7,61.11979431200451,92.6442328666893
RBM5,1057.059105547222,726.5152663109322
MTMR7,51.36584036609589,3.549144306819236
SLC7A2,485.2520238154016,135.19379215477394
ARF5,125.85874993830032,1585.2889692582821
SARM1,136.19118118977363,7.886847913155211
POLDIP2,719.3682967648102,569.0374550626751
PLXND1,332.80602431039335,16.84372590814354
AK2,469.4817988823316,483.5783430443885
CD38,33.59187212047365,0.0
FKBP4,81.53139232016254,0.0
KDM1A,446.8409199848827,150.57874501543338
RBM6,720.2381741094863,441.32173368139865
CAMKK1,74.9926005224069,43.19440483450745
RECQL,73.2796701799738,330.5591829447544
VPS50,67.47552476253806,91.28203108179534
HSPB6,5517.931488454723,16.322063683028404
ARHGAP33,31.9100642923445,0.0
NDUFAB1,421.5799508445538,2171.399100332791
PDK4,755.5498827900362,79.98229912952215
SLC22A16,31.120386259975657,0.0
ZMYND10,17.114539983103615,0.0
ABCB5,20.01721442289945,0.0
ARX,216.92952160030205,17.164254049407095
SLC25A13,128.3448512590059,327.6238907737736
ST7,206.0847731042184,27.287160854122522
CDC27,640.7229990732455,606.0480771298497
SLC4A1,85.95541802102818,76.18608827928924
CALCR,34.35646333599806,3.044835056239758
HCCS,146.66217493998363,89.53309243323267
DVL2,101.99022582385678,28.405986838466283
PRSS22,0.0,0.0
UPF1,468.5876009132778,273.2460965315747
SKAP2,31.96639679348036,252.81277009996842
SLC25A5,429.54570187737687,2817.556794055383
MCUB,51.218873112002484,0.0
HOXA11,0.9682136973603369,3.0088548145715768
POLR2J,257.99142589541293,815.5522446035194
DHX33,208.42776871657608,1486.9239123489845
MEOX1,6.09808721728214,0.0
THSD7A,140.02262583213928,117.5531032591926
LIG3,370.1378713491478,201.33422371989332
RPAP3,185.30572185780036,698.6365863607617
ACSM3,2280.7176089271416,485.996060290589
REXO5,65.23952980962288,6.427908798918498
CIAPIN1,64.38443142953388,164.91130394902763
SPPL2B,182.9302429144927,37.40101561729074
FAM214B,42.14614729607691,38.26557102238317
COPZ2,65.76340638117352,0.0
PRKAR2B,757.4452991970658,296.77835110987115
MSL3,284.584881297632,848.9805761658971
CREBBP,865.2705161632875,268.77587180413764
TSPOAP1,29.3280060749246,3.926473684720471
MPO,11.042000800854616,0.0
PON1,16.42707540495233,119.05542673368977
GCFC2,203.04552294617326,199.16192866406246
WDR54,18.43513493086346,32.44561648143239
CROT,69.0852496162613,69.90600564600791
ABCB4,10.801470344889594,0.0
KMT2E,1548.6465309256525,1012.4620809685189
RHBDD2,799.1080585892919,290.88502317332325
SOX8,0.0,0.0
IBTK,160.25795716656435,165.7362835476509
ZNF195,160.4791094455363,108.3742020053117
MYCBP2,1017.6628336935237,810.3608593291291
FBXL3,383.0552585236617,250.73466355260663
ITGAL,62.75627329558778,9.519923277998815
PDK2,186.5156554813738,104.67143305572549
ITGA3,74.4002515668669,25.651706644137644
ZFX,456.00935858354023,1342.1762726981592
